abstract,access_type,article_number,authors,citing_paper_count,conference_dates,conference_location,content_type,doi,download_count,eisbn,eissn,end_page,html_url,index_terms,is_open_access,isbn,issn,issue,pdf_url,publication_date,publication_title,publication_year,publisher,start_page,title,volume
"With the development of science and technology, [::artificial::] [::intelligence::] has been widely used in many fields, smart TVs, intelligent sweeping robots, intelligent voice, etc. are quiet trigger great changes in human society. At the same time, people are also exploring the integration and development of computer network technology and [::artificial::] [::intelligence::], in order to use [...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10285175,Xiaohua Ma,0,,,IEEE Conferences,10.1109/AIARS59518.2023.00043,2186,,,186,,,False,,,,,29-31 July 2023,2023 2nd International Conference on [::Artificial::] [::Intelligence::] and Autonomous Robot Systems (AIARS),2023,IEEE,182,Application of artificial intelligence in computer network technology,
"The application of [::artificial::] [::intelligence::] in education has greatly affected school management, teachers&#39; teaching and students&#39; learning, and has an important influence on the mechanism and mechanism of learning process. The concept of [::artificial::] [::intelligence::] is to simulate human [::intelligence::] by machine, thus completing specific roles and tasks, and has the character...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9534539,Zhang Qian,0,,,IEEE Conferences,10.1109/ICAIE53562.2021.00026,3024,,,92,,,False,,,,,18-20 June 2021,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2021,IEEE,89,"Applications, Risks and Countermeasures of Artificial Intelligence in Education",
"The integration of [::Artificial::] [::Intelligence::] (AI) in biomedical imaging heralds a transformative era in medical diagnostics and research. This comprehensive overview explores the multifaceted impact of AI on various imaging modalities, emphasizing its potential to revolutionize disease detection, characterization, and treatment planning. AI applications, particularly machine learning and...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10842748,Gunjan R. Chaudhari; Umesh B. Telrandhe,0,,,IEEE Conferences,10.1109/IDICAIEI61867.2024.10842748,479,,,5,,,False,,,,,29-30 Nov. 2024,"2024 2nd DMIHER International Conference on [::Artificial::] [::Intelligence::] in Healthcare, Education and Industry (IDICAIEI)",2024,IEEE,1,The Role of Artificial Intelligence (AI) in Transforming Biomedical Imaging: A Comprehensive Overview,
"Cybersecurity is now a major issue, and it is getting the attention of researchers, academics, and businesses to really focus on safeguarding our information systems. With everything going digital so quickly, the threats online are constantly changing, putting both people and companies at serious risk. This review provides an in-depth analysis of the state-of-the-art in cybersecurity, addressing k...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11167191,Isha Yadav; Vaibhav Shekhawat; Kamlesh Gautam; Gaurav Kumar Soni; Rajeev Yadav,0,,,IEEE Conferences,10.1109/ICSCDS65426.2025.11167191,41,,,1180,,,False,,,,,6-8 Aug. 2025,2025 3rd International Conference on Sustainable Computing and Data Communication Systems (ICSCDS),2025,IEEE,1176,"Artificial Intelligence for Cybersecurity: Emerging Techniques, Challenges, and Future Trends",
"The in-depth development and widespread application of [::artificial::] [::intelligence::] technology will have significant impact on electricity demand. However, there are few comprehensive analyses. This article will analyze the direct and indirect impact respectively. For direct impact, [::artificial::] [::intelligence::] requires various data centers to provide huge computing and storage capab...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10748289,Yuelong Jia,0,,,IEEE Conferences,10.1109/AIoTC63215.2024.10748289,1148,,,60,,,False,,,,,13-15 Sept. 2024,"2024 3rd International Conference on [::Artificial::] [::Intelligence::], Internet of Things and Cloud Computing Technology (AIoTC)",2024,IEEE,57,Analysis of the Impact of Artificial Intelligence on Electricity Consumption,
"It has been more than 60 years since the concept of [::artificial::] [::intelligence::] was established in 1956. In recent years, with the innovation and development of technology, especially the emergence of ChatGPT, it is expected that generative [::artificial::] [::intelligence::] models will lead to new breakthroughs in various industries. This thesis focuses on Japan, which is adjacent to Chi...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11022287,Zhengzhen Qian,0,,,IEEE Conferences,10.1109/ACAIT63902.2024.11022287,45,,,816,,,False,,,,,8-10 Nov. 2024,2024 8th Asian Conference on [::Artificial::] [::Intelligence::] Technology (ACAIT),2024,IEEE,812,Exploration and Reflection of Legal Artificial Intelligence in Japan,
"With the in-depth development of intelligent technology, game [::artificial::] [::intelligence::] (AI) has become the technical core of improving the playability of a game and the main selling point of game promotion, deepening the game experience realm. Modern computer games achieve the realism of games by integrating graphics, physics and [::artificial::] [::intelligence::]. It is difficult to d...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9425971,Cundong Tang; Zhiping Wang; Xiuxiu Sima; Lingxiao Zhang,0,,,IEEE Conferences,10.1109/AIAM50918.2020.00085,8141,,,389,,,False,,,,,15-17 Oct. 2020,2020 2nd International Conference on [::Artificial::] [::Intelligence::] and Advanced Manufacture (AIAM),2020,IEEE,386,Research on Artificial Intelligence Algorithm and Its Application in Games,
"Grokking Artificial Intelligence Algorithms is a fully-illustrated and interactive tutorial guide to the different approaches and algorithms that underpin AI. Written in simple language and with lots of visual references and hands-on examples, you&#39;ll learn the concepts, terminology, and theory you need to effectively incorporate AI algorithms into your applications. And to make sure you truly grok...","{'type': 'locked', 'message': 'Full text access may be available.'}",10280429,Rishal Hurbans,0,,,Manning Books,,0,,,,,,False,,,,,,,2020,Manning,,Grokking Artificial Intelligence Algorithms,
"[::Artificial::] [::intelligence::] is one of the most trending topics in the field of Computer Science which aims to make machines and computers ‘smart’. There are multiple diverse technical and specialized research associated with it. Due to the accelerating rate of technological changes, [::artificial::] [::intelligence::] has taken over a lot of human jobs and is giving excellent results that ...","{'type': 'locked', 'message': 'Full text access may be available.'}",9684789,Sana Khanam; Safdar Tanweer; Syed Khalid; Domenico Rosaci,0,,,OUP Journals,10.1093/comjnl/bxz156,1,,,1839,,,False,,,12,,Dec. 2019,The Computer Journal,2019,OUP,1832,Artificial Intelligence Surpassing Human Intelligence: Factual or Hoax,64
"The rapid integration of [::Artificial::] [::Intelligence::] (AI), Machine Learning (ML), and Internet of Things (IoT) technologies holds significant promise for enhancing human-centric applications, particularly in the domain of law enforcement. This paper explores the application of AI and ML in crime prevention and resource allocation, pivotal areas of concern for law enforcement agencies (LEAs...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10833589,Nadine Y. Fares; Manar Jammal,0,,,IEEE Conferences,10.1109/GCAIoT63427.2024.10833589,232,,,5,,,False,,,,,19-21 Nov. 2024,2024 IEEE Global Conference on [::Artificial::] [::Intelligence::] and Internet of Things (GCAIoT),2024,IEEE,1,Decoding Justice: The Synergy of Artificial Intelligence and Machine Learning in the Legal Landscape,
"[::Artificial::] [::Intelligence::] (AI) technologies are transforming many sectors by causing radical changes in the modern world. AI solutions that accelerate processes, increase efficiency, and improve decision-making mechanisms in areas such as health, finance, education, and transportation also bring with them important discussions in terms of ethics, security, and social harmony. In this con...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11064304,Büşra Tural; Zeynep Örpek; Zeynep Destan,0,,,IEEE Conferences,10.1109/AICCONF64766.2025.11064304,200,,,4,,,False,,,,,13-14 June 2025,2025 3rd Cognitive Models and [::Artificial::] [::Intelligence::] Conference (AICCONF),2025,IEEE,1,Ethics in the Age of Artificial Intelligence,
"Since the world entered the Internet age, various industries have developed rapidly, as has the industry of [::artificial::] [::intelligence::]. Moreover, there is a wide range of application areas in [::artificial::] [::intelligence::], including industry, computer, education, and intelligent robots. With the rapid development of science and technology, it is believed that the [::artificial::] [:...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9534575,Li Xiaojun; Zhuo Xiande; Zhu Kexi; Deng Zhenli; Zhang Kai; Wang Xi,0,,,IEEE Conferences,10.1109/ICAIE53562.2021.00029,1380,,,105,,,False,,,,,18-20 June 2021,2021 2nd International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2021,IEEE,101,Study on the Application Fields and Development Prospects of Artificial Intelligence,
"Today, with the progress of computer network technology, the advantages of [::artificial::] [::intelligence::] gradually began to show and become a new product under the development of the current era. At present, the strength of [::artificial::] [::intelligence::] technology lies in its data analysis and processing ability, because with the continuous development and progress of the society, the ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9725020,Guolan Liu; Huan Wan; Li Zhang,0,,,IEEE Conferences,10.1109/AINIT54228.2021.00139,1862,,,690,,,False,,,,,15-17 Oct. 2021,"2021 2nd International Seminar on [::Artificial::] [::Intelligence::], Networking and Information Technology (AINIT)",2021,IEEE,687,Application of artificial intelligence in computer network technology in the era of big data,
"[::Artificial::] [::intelligence::] is a comprehensive cutting-edge discipline which is developing, and an important research direction in the fields of science computer and technology. This paper uses the principles and methods of [::artificial::] [::intelligence::] on the basis of describing the concept and research areas of [::artificial::] [::intelligence::], focuses on in-depth analysis and d...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",5641441,Liu Xian,0,,,IEEE Conferences,10.1109/ICAIE.2010.5641441,11476,,,776,,,False,,,,,29-30 Oct. 2010,2010 International Conference on [::Artificial::] [::Intelligence::] and Education (ICAIE),2010,IEEE,772,Artificial intelligence and modern sports education technology,
"At present, in the field of [::artificial::] [::intelligence::], China and the United States are not only engaged in technological competition, but also in a political war. China’s ideology makes Chinese people accustomed to giving up part of the right of privacy in order to get better public services, and [::artificial::] [::intelligence::] just needs a huge database. Therefore, the government ca...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9516500,Yuyu Zheng,0,,,IEEE Conferences,10.1109/ISAIAM53259.2021.00014,815,,,35,,,False,,,,,21-23 May 2021,2021 International Symposium on [::Artificial::] [::Intelligence::] and its Application on Media (ISAIAM),2021,IEEE,32,The Influence and Application of Artificial Intelligence on the Political Development of New Media in China,
"This paper introduces the new [::intelligence::] technology in the transformer fault diagnosis— [::Artificial::] [::Intelligence::] System (TFDAI). An [::artificial::] [::intelligence::] system design includes selection of input, network topology, synaptic connection weight, and output. TFDAI module structure, data processing and diagnostic techniques are described in detail. It consists of Expert...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",5376285,Qi-Ping Yang; Meng-Qun Li; Xue-Yun Mu; Jun Wang,0,,,IEEE Conferences,10.1109/AICI.2009.497,3475,,,445,,,False,,,,,7-8 Nov. 2009,2009 International Conference on [::Artificial::] [::Intelligence::] and Computational [::Intelligence::],2009,IEEE,442,Application of Artificial Intelligence (AI) in Power Transformer Fault Diagnosis,4
"The purpose of this study is to investigate the current status and future directions of the cross-application of [::artificial::] [::intelligence::] (AI) and decision support systems (DSS). With the rapid development of AI technology, AI has been widely used in decision support systems in medical, logistics, business and other fields, which greatly enhances the [::intelligence::] and adaptive abil...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11036058,Mingyang Li,0,,,IEEE Conferences,10.1109/AINIT65432.2025.11036058,51,,,1669,,,False,,,,,11-13 April 2025,"2025 IEEE 6th International Seminar on [::Artificial::] [::Intelligence::], Networking and Information Technology (AINIT)",2025,IEEE,1666,The Past Decade and Future of the Cross Application of Artificial Intelligence and Decision Support System,
"This article presents the project of the Strategy of [::artificial::] [::intelligence::] development in Ukraine which is a document of national importance, which identifies priority areas for fundamental, applied, and experimental research, and sets tasks and measures for the implementation of national and global [::artificial::] [::intelligence::] technologies in the interests of economic and soc...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9913094,Anatolij Shevchenko; Maksym Vakulenko; Mykyta Klymenko,0,,,IEEE Conferences,10.1109/ACIT54803.2022.9913094,225,,,515,,,False,,,,,26-28 Sept. 2022,2022 12th International Conference on Advanced Computer Information Technologies (ACIT),2022,IEEE,511,The Ukrainian AI Strategy: Premises and Outlooks,
"[::Artificial::] [::intelligence::] has a wide range of uses in industries like business, health, education, and transportation. The aviation sector of the transportation business is not far behind; AI has several uses in this sector. Technology prognosis, applications, and projected market demand are the key subjects of this paper. The primary goal of this article is to provide more information o...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10102147,Mahmoud Abubakar; Odunlami EriOluwa; Mangai Teyei; Fadi Al-Turjman,0,,,IEEE Conferences,10.1109/AIoTCs58181.2022.00015,2027,,,55,,,False,,,,,26-28 Oct. 2022,2022 International Conference on [::Artificial::] [::Intelligence::] of Things and Crowdsensing (AIoTCs),2022,IEEE,52,AI Application in the Aviation Sector,
"This study undertakes a critical evaluation of the recent body of academic discourse, exploring the ramifications of [::Artificial::] [::Intelligence::] (AI) within the educational field. The theoretical framework, grounded at the intersection of technology and education, provides a useful and interpretive lens for analyzing findings and elucidating further insights. Among its key revelations, whi...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10904403,Prokopis A. Christou,0,,,IEEE Conferences,10.1109/WAIE63876.2024.00017,576,,,60,,,False,,,,,28-30 Sept. 2024,2024 6th International Workshop on [::Artificial::] [::Intelligence::] and Education (WAIE),2024,IEEE,56,"Implications of Artificial Intelligence (AI) in Education: A Critical Review, Evaluation, and Conceptualization",
"Summary [::Artificial::] [::Intelligence::] (AI) is a mainframe or any computer system which has potential to work equal or better than human being in all scenarios. The use of AI has been adopted by several organizations like healthcare, industries, business, education, tourism, animal surveillance, and their conservation. AI has aptitudes to be a precious implement for animal surveillance and...","{'type': 'locked', 'message': 'Full text access may be available.'}",10953673,Devendra Kumar; Saha Dev Jakhar,0,,,Wiley Books,10.1002/9781119710301.ch5,0,,,85,,,False,,,,,,Impact of [::Artificial::] [::Intelligence::] on Organizational Transformation,2022,Wiley,73,Artificial Intelligence in Animal Surveillance and Conservation,
"In this era of rapid information technology, the development of [::artificial::] [::intelligence::] affects people&#39;s lives and all walks of life, while promoting the improvement of productivity. With the deepening of [::artificial::] [::intelligence::] technology, the impact on enterprise management theory and practice began to highlight, therefore, enterprise management and decision makers need t...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9750695,Changyun Li,0,,,IEEE Conferences,10.1109/IWECAI55315.2022.00067,478,,,317,,,False,,,,,14-16 Jan. 2022,2022 3rd International Conference on Electronic Communication and [::Artificial::] [::Intelligence::] (IWECAI),2022,IEEE,314,The Impact and Response of Artificial Intelligence on the Theory of Enterprise Management,
"This research explores the perspectives of 105 instructors from the University of Petra (UOP), specifically from the Faculties of Arts and Science (FAS) and Information Technology (FIT), regarding personalized learning (PL) and generative [::artificial::] [::intelligence::] (GAI) tools. The study examines instructors&#39; views on the theoretical foundations of these technologies, their perceived need...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11013092,Rami A. Abdel-Rahem; Wael Hadi; Mayyas Al-Remawi; Faisal Aburub; Naser Jamal,0,,,IEEE Conferences,10.1109/ICCIAA65327.2025.11013092,55,,,5,,,False,,,,,28-30 April 2025,2025 1st International Conference on Computational [::Intelligence::] Approaches and Applications (ICCIAA),2025,IEEE,1,A Survey on Some Artificial Intelligence Learning Tools at the University of Petra,
"The rapid development of [::artificial::] [::intelligence::] technology has put forward higher requirements for the teaching mode of [::Artificial::] [::Intelligence::] course in universities. This paper first analyzes the pain points existing in the teaching of [::Artificial::] [::Intelligence::] course, and then puts forward innovative measures of blended teaching. With project-driven learning (...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",11092165,Dong Zhao; Jing Li; Dan Zhang; Xiujuan Ma,0,,,IEEE Conferences,10.1109/CSTE64638.2025.11092165,25,,,926,,,False,,,,,18-20 April 2025,2025 7th International Conference on Computer Science and Technologies in Education (CSTE),2025,IEEE,922,Innovative design of blended teaching for Artificial Intelligence course,
"This paper introduces [::artificial::] [::intelligence::] technology for the real-time dispatching business of the power grid based on big data applications and [::artificial::] [::intelligence::] thinking and decision-making. With security and error prevention as the criterion, automation and [::intelligence::] business system is builded. The system can assist control personnel to carry out daily...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9361059,CAI Xinlei; QIU Rongfu; CUI Yanli; XIE Xinglang,0,,,IEEE Conferences,10.1109/ICAICE51518.2020.00036,539,,,157,,,False,,,,,23-25 Oct. 2020,2020 International Conference on [::Artificial::] [::Intelligence::] and Computer Engineering (ICAICE),2020,IEEE,154,Power Grid Auxiliary Control System Based on Big Data Application and Artificial Intelligence Decision,
Mining of software engineering data have proved successful for reusability of components in software development. [::Artificial::] [::Intelligence::] improves a large application domain of software engineering activities. Intelligent knowledge discovery integrates [::Artificial::] [::Intelligence::] with Data Mining for intelligent computing of software engineering tasks. The integration of [::art...,"{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",8777584,Divanshi Priyadarshni Wangoo,0,,,IEEE Conferences,10.1109/CCAA.2018.8777584,4712,,,4,,,False,,,,,14-15 Dec. 2018,2018 4th International Conference on Computing Communication and Automation (ICCCA),2018,IEEE,1,Artificial Intelligence Techniques in Software Engineering for Automated Software Reuse and Design,
"The purpose of the study is to investigate the impact of [::Artificial::] [::Intelligence::] on the future of Project Management. This study provides detailed conceptual information about [::Artificial::] [::Intelligence::] and different perspectives. [::Artificial::] [::Intelligence::] is defined as the new technical discipline, which would develop an application system, a technological method in...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9430234,Asma Alshaikhi; Mashael Khayyat,0,,,IEEE Conferences,10.1109/WiDSTaif52235.2021.9430234,2835,,,4,,,False,,,,,30-31 March 2021,2021 International Conference of Women in Data Science at Taif University (WiDSTaif ),2021,IEEE,1,An investigation into the Impact of Artificial Intelligence on the Future of Project Management,
"A new era in marketing strategy has been inaugurated with the advent of [::artificial::] [::intelligence::] (AI), which has brought about a fundamental transformation in the domain of marketing management. The objective of this research is to acquire a thorough understanding of the application of [::artificial::] [::intelligence::] (AI) in various marketing procedures, including but not limited to...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10602227,Swati Mahadev Patil; Avinash Manohar Kharat; Samiksha Jain; Vipin Vihari Ram Tripathi; Gaurav Kumar Bisen; Amit Joshi,0,,,IEEE Conferences,10.1109/ACCAI61061.2024.10602227,689,,,5,,,False,,,,,9-10 May 2024,"2024 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)",2024,IEEE,1,Investigating the Influence and Function of Artificial Intelligence in Contemporary Marketing Management: Marketing in the AI Era,
"With the outbreak of the New coronavirus pneumonia epidemic, [::artificial::] [::intelligence::] plays an important enabling effect in helping to prevent and control the epidemic. It has been half a century since [::artificial::] [::intelligence::] was proposed. Besides, its development process has experienced “three ups and two downs”. In this paper, CiteSpace, patent mining and other analysis me...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9334257,Tao Yuxiang; Wu Chaonan; Li Jingying; Yuan Ye,0,,,IEEE Conferences,10.1109/ICEICT51264.2020.9334257,412,,,724,,,False,,,,,13-15 Nov. 2020,2020 IEEE 3rd International Conference on Electronic Information and Communication Technology (ICEICT),2020,IEEE,721,Research on Frontier Issues of New Generation Artificial Intelligence,
"With the development of the [::artificial::] [::intelligence::], the [::artificial::] [::intelligence::] technology is gradually applied to medicine to assist the doctors for disease diagnosis and surgery, which promotes the rapid development of the precision medicine. In this paper, the surgical system based on the [::artificial::] [::intelligence::] and the augmented reality is explored. In the ...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",8613675,Yang Liu; Pinpin Tang,0,,,IEEE Conferences,10.1109/AIVR.2018.00056,4303,,,246,,,False,,,,,10-12 Dec. 2018,2018 IEEE International Conference on [::Artificial::] [::Intelligence::] and Virtual Reality (AIVR),2018,IEEE,244,The Prospect for the Application of the Surgical Navigation System Based on Artificial Intelligence and Augmented Reality,
"[::Artificial::] [::Intelligence::] (AI), in its long journey since inception in 1956, has seen many cycles of successes and failures. It has undergone major focal transformations, both in terms of philosophical directions and the areas attracting generous funding. The journey of AI from Turing&#39;s test to current state of the art techniques, and their applications, can be seen as the A&#39;B&#39;C&#39;D&#39; of [:...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",5136308,V. K. Singh; A. K. Gupta,0,,,IEEE Conferences,10.1109/SACI.2009.5136308,1301,,,550,,,False,,,,,28-29 May 2009,2009 5th International Symposium on Applied Computational [::Intelligence::] and Informatics,2009,IEEE,545,From artificial to collective intelligence: Perspectives and implications,
"With the great development of modern science and technology, the national economy is also further improving. At the same time, China also makes new requirements for the development of various high and new technologies. [::Artificial::] [::intelligence::] is a new industry derived from the continuous progress of scientific level, and its high scientific and technological value. The development of [...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",9718942,Shuiwen Liu,0,,,IEEE Conferences,10.1109/CISAI54367.2021.00130,721,,,650,,,False,,,,,17-19 Sept. 2021,2021 International Conference on Computer Information Science and [::Artificial::] [::Intelligence::] (CISAI),2021,IEEE,647,The Research on Artificial Intelligence in Computer Network Technology,
"In modern sports, the use of technology to accurately analyze the physical state of an athlete&#39;s training is an important means to promote the improvement of athletic performance. [::Artificial::] [::intelligence::] mainly refers to the use of computer science and technology to imitate the ability of human intelligent behavior, such as language translation, voice recognition, and an interaction wi...","{'type': 'subscribed', 'message': 'Included in Your Digital Subscription'}",10277823,Nan Ma,0,,,IEEE Conferences,10.1109/AICIT59054.2023.10277823,321,,,5,,,False,,,,,15-17 Sept. 2023,2023 2nd International Conference on [::Artificial::] [::Intelligence::] and Computer Information Technology (AICIT),2023,IEEE,1,Application of the Artificial Intelligence Sensor Principle in Athlete Training Status Testing System,
